Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LF-1,,,Qualifier 1 Results,Qualifier 2 Results,LF-1_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.580,463616,,39081,,16.549,74279,,7775,,16.552,6714,,673,
Hexanoic acid,10.002,1142,,,,9.828,324016,,528438,,9.829,2974,,,
Heptanoic acid,12.808,596,,656,,12.750,157084,,240300,,12.736,3662,,7292,
Octonoic acid,15.601,26437,,29361,,15.752,559627,,650784,,15.614,26809,,23805,
Dodecane (n-C12),16.187,17038,,44394,,16.159,499227,,1080452,,16.156,36183,,88995,
Naphthalene-D8,16.485,460057,,45974,,16.447,2581450,,249625,,16.451,196547,,21007,
Benzothiazole,17.871,209,,34,,17.843,66220,,17581,,17.857,5308,,1693,
Dichlorvos,18.115,121014,,50515,1135,17.836,2067,,7,21,18.179,5,,1,
Nonanoic acid,18.420,118601,,106990,,18.606,1874072,,1733835,,18.420,93983,,65969,
Tridecane (n-C13),18.980,5545,,6104,,18.982,141638,,161619,,18.992,12200,,14858,
2-Methylnaphthalene,19.922,292680,,315589,95671,19.924,16784,,17905,4948,19.934,2107,,1998,817
1-Methylnaphthalene,20.325,296341,,328129,103896,20.327,13359,,15030,7679,20.321,2012,,2060,895
Decanoic acid,21.091,21287,,19400,11239,21.201,994624,,843550,515987,21.087,38961,,26596,19855
"1,2-Benzenedicarboxylic acid",21.386,1687,,2483,,21.344,1181290,,701569,,21.368,68693,,58401,
Tetradecane (n-C14),21.725,29514,,57128,,21.730,1569212,,2649276,,21.720,111155,,218873,
Biphenyl,22.145,377866,,48867,,22.147,28985,,701303,,22.158,3467,,53118,
"2,6-Methylnaphthalene",23.033,134711,,117327,,23.048,7832,,7312,,23.042,632,,322,
C2-Naphthalenes,23.033,134081,,117432,,23.048,8270,,7406,,23.042,647,,372,
Dimethyl phthalate (DMP),24.005,389777,,460,46481,24.014,17439,,,2111,24.018,1882,,16,148
Acenaphthylene,24.138,478644,,25686,,24.146,72360,,5276,,24.154,6349,,446,
Pentadecane (n-C15),24.212,1403,,2659,,24.285,49546,,71838,,24.523,3165,,5372,
Acenaphthene,25.029,362964,,49329,,25.051,9715,,20441,,25.035,583,,1447,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.879,659,,152,236,26.197,24317,,152,,26.096,990,,25,
Dodecanoic acid,26.079,24565,,15289,6868,26.204,2757206,,1897005,1010634,26.092,114802,,60605,44635
C3-Naphthalenes,27.049,122958,,147991,,26.342,5782,,6568,,26.340,547,,563,
Hexadecane (n-C16),26.723,36390,,67721,,26.732,1236148,,1909276,,26.719,85985,,158952,
"2,3,5-Trimethylnaphthalene",27.049,122976,,147972,,27.051,1839,,3211,,27.021,189,,69,
Diethyl Phthalate (DEP-D4),27.259,475013,,39684,,27.241,3597,,299,,27.234,250,,,
Diethyl phthalate (DEP),27.299,465199,,40870,,27.305,290668,,25222,,27.299,29236,,2845,
Fluorene,27.672,327254,,347999,,27.681,10625,,13566,,27.678,797,,,
Benzophenone,28.496,96,,249,,28.508,329552,,81700,,28.525,26693,,7331,
C4-Naphthalenes,31.637,18161,,3670,,29.040,3454,,10805,,29.647,480,,391,
Heptadecane (n-C17),29.041,2248,,5543,,29.047,185426,,210396,,29.034,13374,,26242,
4-Bromodiphenyl ether (BDE 3),29.916,98921,,105413,,29.908,617,,36,,29.857,28,,,
Diacetamate,30.183,485,,18,,30.294,24916,,3278,,29.834,1604,,187,
Tetradecanoic acid,30.644,19254,,12579,9619,30.819,9279250,,6197821,4772471,30.660,465057,,221205,237323
Octadecane (n-C18),31.234,44601,,86205,,31.314,96749,,125554,,31.233,51037,,89230,
Tri(2-chloroethyl) phosphate (TCEP),31.590,1128,,1073,,31.602,15653,,18930,,31.596,1283,,1412,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3152,,42,,32.056,121157,,5121,,32.033,12117,,517,
Phenanthrene,32.335,258084,,32850,,32.341,257276,,30995,,32.338,20273,,3080,
Anthracene,32.654,515819,,55105,,32.656,116966,,15881,,32.663,9148,,1774,
Pentadecanoic acid,32.962,18951,,2307,11025,32.890,4573695,,2857517,1885120,32.778,193880,,92688,83465
Diisobutyl phthalate,33.135,711743,,4841,,33.147,14764663,,95784,,33.134,1501638,,9314,
Nonadecane  (n-C19),33.315,4693,,6444,,33.327,623550,,876540,,33.314,37729,,60598,
Dinonacyl amine (?),33.511,80,,,,33.330,40591,,1680,,33.317,3160,,,
Aspirin,33.894,27,,,,33.890,233640,,98103,,33.866,20934,,8871,
Caffeine,34.223,3093,,9446,,34.174,84354,,13560,,34.171,8821,,6314,
n-Hexadecanoic acid,34.819,51565,,29447,19177,35.140,46930596,,30473550,22656339,34.883,3383121,,1508967,1532640
C1-Phenanthrenes,35.436,224561,,31757,,34.981,52513,,,,34.971,4919,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.141,67376,,32787,,35.140,272,,2416,,35.120,40,,43,
Dibutyl phthalate,35.131,863213,,7545,,35.174,82100818,,997589,,35.134,10686839,,88998,
Eicosane (n-C20),35.335,50845,,89275,,35.143,8126094,,12581799,,35.330,26396,,44041,
1-Methylphenanthrene,35.436,224385,,34373,,35.347,47228,,51448,,35.341,5177,,3080,
Chlorpyrifos,35.860,80253,,60489,,35.876,2454,,,,35.852,302,,233,
bis(2-Methoxyethyl)phthalate,36.090,51951,,45588,,35.933,110900,,,,35.805,12133,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.826,129584,,61386,,36.828,26,,,,36.828,9,,7,
bis(4-Methyl-2-pentyl)phthalate,37.066,194613,,25263,,37.190,12342,,2174,,37.171,821,,74,
Heneicosane,37.392,2327,,3249,,37.279,595579,,1052901,,37.252,18489,,31011,
1-Hexadecanol,36.693,5682,,6408,,37.292,3429169,,3853684,,37.523,258828,,376667,
Didecyl amine (?),37.663,1717,,6,,37.844,1245789,,14181,,37.723,145745,,1779,
C2-Phenanthrenes,38.496,2723,,,,37.594,76066,,42885,,37.591,5290,,3415,
bis(2-Ethoxyethyl)phthalate,38.191,80625,,37053,,38.312,378773,,,,38.279,5308,,40631,
Fluoranthene,38.273,345622,,24835,,38.278,568012,,39118,,38.275,50886,,5928,
"9,17-Octadecadienal, (Z)-",38.649,4154,,93,,38.471,25302325,,3048010,,38.275,890716,,155186,
Octadecanoic acid,38.652,30821,,14949,13836,38.871,15896729,,9894804,8815622,38.679,844218,,380788,466325
Dipentyl phthalate (DPP),38.747,858253,,9439,5043,38.875,87688,,4837,2574,38.943,8003,,388,108
Docosane (n-C22),39.096,62109,,100679,,39.109,545014,,816421,,39.089,37207,,62760,
Pyrene,39.327,364413,,33689,,39.336,453383,,56663,,39.316,40207,,4288,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.893,10768,,1081,344,39.719,1688251,,293868,93597,39.695,94224,,17992,4850
"p,p'-DDE",39.879,227846,,111897,,39.888,1862,,919,,39.909,16,,49,
d14-Terphenyl (IS),40.187,1046929,,71342,,40.203,4170432,,286279,,40.190,304181,,25831,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,124593,,126810,66446,40.583,45,,,43,40.600,5,,,5
Tricosane (n-C23),40.852,2186,,1922,4219,40.871,812000,,1169065,1870579,40.942,10592,,,27174
C3-Phenanthrenes,40.191,476,,,,41.382,15932,,,,41.400,1569,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,106250,,109729,,41.508,191,,433,,41.485,13,,15,
DDD,41.882,261993,,161637,,41.904,5700,,3648,,41.888,811,,35,
Dihexyl phthalate (DHP),42.116,913639,,10667,,42.538,68303963,,266601,,42.478,8262513,,18754,
Benzyl butyl phthalate (BBP),42.475,360832,,117583,16007,42.538,68303963,,29484231,3716893,42.478,8262967,,2971666,360050
Tetracosane (n-C24),42.553,69230,,114743,,42.582,1224886,,1947111,,42.545,111941,,248541,
Bis(2-ethylhexyl) adipate,42.777,462,,504,,42.799,2594299,,2804850,,42.759,234756,,211837,
"p,p'-DDT",42.997,201555,,126410,,43.026,5450,,3228,,42.993,429,,213,
Triphenyl phosphate,43.305,552,,185,,43.345,2209,,4889,,43.311,26,,,
Pentacosane (n-C25),44.183,6159,,,,44.205,1582815,,2273067,,44.179,103277,,182682,
bis(2-n-Butoxyethyl)phthalate,44.312,127623,,34639,,45.083,138673304,,1197711,,45.023,21527706,,85379,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.027,155465,,59300,38555,45.066,3157,,1916,,45.019,314,,191,149
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.084,156678,,59986,39655,45.066,3160,,1912,,45.019,318,,188,149
Dicyclohexyl phthalate,45.149,1814824,,173587,2537,45.165,128483712,,25211991,,45.155,23286356,,2390615,3157
Bis(2-Ethylhexyl)phthalate (DEHP),45.149,1814749,,173601,7977,45.165,128483712,,25211991,990143,45.155,23286258,,2390615,202772
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.125,356740,,4118178,,45.178,13986,,,,44.890,18387,,3642,
Benz[a]anthracene,45.349,291505,,20343,,45.378,322646,,25401,,45.355,26759,,2787,
Chrysene,45.539,277558,,15643,,45.564,376804,,26024,,45.541,29147,,1909,
Dronabinol,45.647,122,,,,45.608,8641,,16047,,45.636,209,,,
Hexacosane (n-C26),45.850,4502,,18464,,45.775,1591755,,2401763,,45.741,114306,,191787,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.800,120471,,91599,58311,45.836,52950,,35278,23140,45.799,5004,,3436,1381
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.430,135270,,57921,38889,45.836,52844,,35258,23405,45.799,5006,,3439,2700
Cannabinol,46.576,2672,,350,,46.612,57452,,28170,,46.571,9809,,4219,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.463,119779,,22396,,47.540,27,,,,47.700,5,,10,
Heptacosane (n-C27),47.270,4582,,11319,,47.289,1785398,,2431600,,47.263,140925,,209900,
Di-n-octyl phthalate,48.216,978968,,11743,3125,48.584,62566105,,13433839,33944083,48.499,7661977,,1385297,4139944
Octacosane (n-C28),48.734,75452,,121402,,48.760,1965382,,2481078,,48.723,141623,,203120,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.816,90338,,67908,70993,48.852,10126,,7080,7538,48.822,916,,266,
Squalene,49.036,7303958,,1380060,4181140,49.021,17823485,,5460714,6695440,48.978,2319930,,713459,812946
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.155,120159,,43781,45536,48.852,10074,,7066,7517,48.822,787,,266,
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.765,106197,,50706,52559,49.807,61329,,28785,29689,49.757,6048,,2837,2890
Nonacosane (n-C29),50.141,4586,,8226,,50.167,2921763,,3259439,,50.137,194330,,354618,
Benzo(b)fluoranthene,50.391,342356,,32393,,50.424,742402,,65794,,50.384,60685,,6545,
Benzo(k)fluoranthenene,50.483,322576,,38068,,50.522,246895,,27991,,50.486,22515,,2530,
Dinonyl phthalate,50.995,922256,,12901,,51.031,3869787,,19448,,51.001,360723,,1747,
Benzo(e)pyrene,51.523,368467,,30300,,51.563,361629,,32653,,51.533,31323,,2821,
Triacontane (n-C30),51.503,76049,,119063,,51.536,1771388,,2214166,,51.506,119279,,171924,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.398,85520,,67896,52132,51.990,4314,,2494,1710,51.946,580,,169,19
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.561,100385,,43691,46164,51.603,2333,,862,1259,51.590,151,,,19
Piperine,52.005,1199,,16,,51.797,69026,,13412,,51.739,9281,,,
Benzo[a]pyrene,51.784,293255,,31322,,51.810,345401,,41965,,51.780,31068,,3299,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.954,110047,,50309,37815,51.990,4246,,2478,1705,51.946,581,,169,20
Perylene,52.127,332416,,40106,,52.156,76274,,9158,,52.126,7131,,340,
beta-Tocopherol,52.940,797,,10,,52.857,26615,,10128,,52.861,1487,,34,
Hentriacontane (n-C31),52.818,2688,,3075,,52.868,1970186,,2570871,,52.834,152104,,250474,
Methyl Dipentadecyl amine (?),53.004,141,,,,53.054,48478,,4254,,53.017,2984,,291,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.333,103820,,35313,27108,53.366,5820,,2190,1745,53.322,739,,145,111
Dotriacontane (n-C32),54.119,72537,,110914,,54.142,873082,,1245266,,54.119,64771,,106834,
Dihexdecyl amine (?),54.241,51,,,,54.315,23966,,3848,,54.264,1140,,134,
Vitamin E (or tocopherol isomer),54.292,339,,91,,54.301,1357413,,535040,,54.261,110001,,29768,
Cholesterol,54.363,20,,74,,54.335,6335982,,8954928,,54.403,159477,,718910,
Lathosterol,55.078,56,,20,,55.189,564415,,426156,,55.352,32730,,28896,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.160,86088,,34909,25692,55.172,513,,,113,55.200,13,,,
Tritriacontane (n-C33),54.953,160,,117,,55.399,784948,,999348,,55.369,60648,,100738,
Methyl dihexdecyl amine (?),55.590,25,,14,,55.575,90257,,21359,,55.532,5873,,1192,
"Cholesta-3,5-dien-7-one",55.705,51,,12,,55.667,1787434,,596917,,55.633,78987,,24779,
"Indeno(1,2,3-cd)pyrene",56.203,392673,,71791,,56.216,317419,,54314,,56.213,24432,,3953,
Cholest-4-en-3-one,56.210,164,,85,,56.311,117153,,160076,,56.270,9771,,12716,
Tetratriacontane (n-C34),56.759,64662,,99578,,56.789,454564,,585688,,56.765,33840,,47269,
beta-Sitosterol,56.946,23,,,,56.972,142561,,206046,,56.653,430,,239,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,54984,,51519,25233,56.972,434,,335,106,57.023,12,,13,20
Diheptadecyl amine (?),56.925,1588,,11,,56.955,22184,,2991,,56.935,1474,,171,
"Benzo[g,h,i]perylene",57.295,329361,,39604,,57.310,292975,,49090,,57.304,21025,,3436,
Pentatriacontane (n-C35),58.349,196,,396,,58.412,415319,,423091,,58.355,22306,,38061,
Methyl diheptadecyl amine (?),58.566,3407,,80,,58.608,1119301,,71718,,58.568,58328,,2867,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.891,37233,,36137,15001,59.903,228,,,383,59.944,16,,32,
Hexatriacontane (n-C36),60.301,51633,,84166,,60.337,280644,,327688,,60.300,16213,,30484,
Dioctadecyl amine (?),60.582,15,,7,,60.540,50722,,3883,,60.490,3522,,285,
Methyl dioctadecyl amine (?),62.988,141,,15,,62.865,4985786,,148126,,62.808,239146,,7344,
Acenaphthene-D10,24.873,263673,,351655,,24.878,1740950,,2261845,,24.879,122688,,158519,
Phenanthrene-D10,32.217,562481,,62177,,32.215,3427392,,421996,,32.216,239311,,30989,
Benz(a)anthracene-D12,45.230,608192,,144875,,45.259,3765059,,1015498,,45.233,291753,,71470,
Perylene-D12,52.005,349650,,84535,,52.041,1752368,,457305,,52.007,143531,,35903,
