Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,ZJ,,,Qualifier 1 Results,Qualifier 2 Results,ZJ_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.587,494176,,41191,,16.551,52010,,5104,,16.552,5001,,470,
Hexanoic acid,9.924,19239,,36249,,9.821,235467,,381014,,9.740,7318,,12312,
Heptanoic acid,12.971,195,,323,,12.708,51995,,75690,,13.553,491,,50,
Octonoic acid,15.604,24285,,31811,,15.680,223664,,257818,,15.674,6288,,1642,
Dodecane (n-C12),16.183,17668,,46810,,16.158,324981,,870204,,16.149,27400,,68388,
Naphthalene-D8,16.488,489376,,49917,,16.449,2367005,,229328,,16.451,168681,,14953,
Benzothiazole,17.861,414,,32,,17.842,66380,,16459,,17.881,5065,,561,
Dichlorvos,18.112,129279,,55595,1226,17.849,1854,,3,7,18.030,9,,,10
Nonanoic acid,18.420,127635,,114096,,18.496,441615,,414036,,18.440,14730,,9715,
Tridecane (n-C13),18.989,5184,,5991,,18.988,103621,,127745,,18.975,8109,,8950,
2-Methylnaphthalene,19.928,321148,,348538,104973,19.930,18757,,20512,6272,19.928,2302,,2208,
1-Methylnaphthalene,20.324,318758,,359712,112888,20.323,10920,,12375,4434,20.321,2108,,1984,793
Decanoic acid,21.097,24421,,21590,9091,21.130,239307,,205206,118707,21.124,4660,,,1851
"1,2-Benzenedicarboxylic acid",21.389,2361,,,,21.346,607215,,356543,,21.392,20255,,23324,
Tetradecane (n-C14),21.724,32608,,61826,,21.733,917325,,1895773,,21.720,72555,,142795,
Biphenyl,22.148,406778,,42622,,22.156,18127,,352537,,22.178,1521,,2224,
"2,6-Methylnaphthalene",23.032,144515,,127279,,23.061,7255,,6021,,23.059,126,,256,
C2-Naphthalenes,23.032,144128,,129293,,23.061,7048,,6020,,24.882,6225,,780,
Dimethyl phthalate (DMP),24.008,436929,,343,56853,24.020,26991,,,3544,24.018,2335,,6,132
Acenaphthylene,24.137,523185,,27207,,24.142,2394,,6328,,23.164,2806,,342,
Pentadecane (n-C15),24.235,1540,,3808,,24.288,34784,,65776,,24.225,3935,,6336,
Acenaphthene,25.032,399869,,54092,,25.040,5240,,3412,,25.045,164,,2283,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.882,846,,10,246,26.125,8566,,21,77,26.102,64,,12,31
Dodecanoic acid,26.079,28884,,15057,7629,26.142,751015,,520119,273363,26.095,18986,,7301,6022
C3-Naphthalenes,27.048,134998,,163079,,26.345,5660,,6487,,26.339,162,,333,
Hexadecane (n-C16),26.723,40876,,74836,,26.731,786036,,1498562,,26.719,61327,,109922,
"2,3,5-Trimethylnaphthalene",27.048,136924,,160068,,27.053,2631,,2468,,27.054,52,,192,
Diethyl Phthalate (DEP-D4),27.258,528940,,45724,,27.487,132,,649,,27.302,51,,23,
Diethyl phthalate (DEP),27.295,532601,,42163,,27.308,187131,,15792,,27.302,18624,,1507,
Fluorene,27.675,361627,,386772,,27.687,5777,,7450,,27.692,497,,77,
Benzophenone,28.509,676,,214,,28.507,149608,,66819,,28.515,9105,,5530,
C4-Naphthalenes,31.637,22479,,3600,,29.039,2669,,15715,,29.047,266,,1116,
Heptadecane (n-C17),29.041,3954,,4981,,29.046,153743,,346966,,29.047,8386,,22657,
4-Bromodiphenyl ether (BDE 3),29.912,112065,,117788,,29.917,834,,30,,29.840,8,,,
Diacetamate,30.203,1350,,66,,30.198,6725,,876,,30.389,50,,27,
Tetradecanoic acid,30.640,17737,,14744,11046,30.693,931506,,598412,468382,30.633,17365,,8929,7569
Octadecane (n-C18),31.230,49558,,94942,,31.242,499575,,922943,,31.226,47443,,72973,
Tri(2-chloroethyl) phosphate (TCEP),31.579,1087,,1384,,31.598,828061,,1051728,,31.582,59184,,79314,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.033,2861,,24,,31.594,667206,,941,,31.579,51764,,16,
Phenanthrene,32.335,285574,,38174,,32.343,68442,,9102,,32.341,5278,,301,
Anthracene,32.650,577109,,62836,,32.669,6256,,6775,,32.497,366,,49,
Pentadecanoic acid,32.962,24429,,2215,13678,32.787,196591,,126504,79037,32.765,3174,,1175,473
Diisobutyl phthalate,33.135,798912,,5217,,33.150,23565025,,157874,,33.131,2240128,,14243,
Nonadecane  (n-C19),33.328,4342,,8390,,33.404,37759,,,,33.317,33561,,56140,
Dinonacyl amine (?),33.341,81,,,,33.509,6659,,415,,33.737,5884,,13,
Aspirin,33.890,22,,,,33.882,134951,,60288,,33.870,11432,,4517,
Caffeine,34.226,3038,,12106,,34.173,7444,,,,34.185,803,,,
n-Hexadecanoic acid,34.816,55254,,32930,22475,34.922,5572923,,3437225,2404310,34.815,126506,,54903,56955
C1-Phenanthrenes,35.436,243045,,33844,,34.977,12034,,,,34.991,931,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.134,73632,,37401,,35.143,64,,95,,35.140,13,,3,
Dibutyl phthalate,35.131,948530,,8459,,35.146,17340979,,147166,,35.130,1603459,,13890,
Eicosane (n-C20),35.337,54943,,100792,,35.343,281068,,518277,,35.334,21936,,33956,
1-Methylphenanthrene,35.436,242982,,37527,,35.448,7978,,3569,,35.428,421,,69,
Chlorpyrifos,35.863,89209,,68185,,35.976,14,,,,35.866,4,,4,
bis(2-Methoxyethyl)phthalate,36.093,58503,,49472,,36.678,44794,,,,36.645,4998,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.825,142439,,37024,,36.847,3,,11,,36.950,2,,2,
bis(4-Methyl-2-pentyl)phthalate,37.069,224446,,27191,,37.203,357,,365,,37.079,44,,3,
Heneicosane,37.384,3032,,4289,,37.257,117130,,187564,,37.245,7044,,8951,
1-Hexadecanol,36.690,4761,,9740,,37.284,192754,,298973,,37.218,6458,,1949,
Didecyl amine (?),37.652,1354,,11,,37.667,384841,,9148,,37.560,36463,,455,
C2-Phenanthrenes,38.499,2853,,,,37.593,12200,,7690,,37.587,687,,197,
bis(2-Ethoxyethyl)phthalate,38.187,85936,,41756,,38.210,21460,,41526,,38.299,741,,,
Fluoranthene,38.272,390184,,28440,,38.281,62854,,6967,,38.279,5347,,406,
"9,17-Octadecadienal, (Z)-",38.140,37336,,846,,38.301,675907,,149865,,38.262,9088,,1360,
Octadecanoic acid,38.652,31475,,16077,13224,38.721,2182485,,1291043,1142509,38.655,19265,,10175,11908
Dipentyl phthalate (DPP),38.747,946721,,10297,4996,38.833,66712,,158,287,38.794,1496,,33,54
Docosane (n-C22),39.089,65300,,110550,,39.098,284128,,284048,,39.085,18123,,26730,
Pyrene,39.326,406785,,37862,,39.331,57720,,6632,,39.356,5297,,415,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.855,6812,,,55,39.680,911424,,153840,47211,39.695,54840,,10151,2074
"p,p'-DDE",39.879,256279,,125210,,39.894,190,,39,,39.888,19,,8,
d14-Terphenyl (IS),40.190,1151295,,80211,,40.195,3368897,,213412,,40.187,239461,,18737,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,139241,,138863,72399,40.196,644,,3084,36,40.658,11,,,
Tricosane (n-C23),40.851,1367,,2465,4852,40.860,245025,,418046,654013,40.854,19117,,29251,57734
C3-Phenanthrenes,40.194,522,,,,41.382,2882,,,,40.956,75,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,118133,,123068,,41.507,27,,58,,41.498,6,,11,
DDD,41.888,290986,,179430,,41.880,751,,744,,41.810,18,,19,
Dihexyl phthalate (DHP),42.115,1016705,,11540,,42.124,6132055,,67863,,42.111,518809,,5254,
Benzyl butyl phthalate (BBP),42.478,401705,,158581,17759,42.480,925255,,912348,30614,42.471,81144,,139952,3261
Tetracosane (n-C24),42.552,76865,,125727,,42.575,731172,,1678921,,42.545,59365,,126284,
Bis(2-ethylhexyl) adipate,42.746,1032,,608,,42.778,962239,,1059938,,42.762,74326,,69875,
"p,p'-DDT",42.996,225730,,141875,,42.995,98,,,,43.104,32,,12,
Triphenyl phosphate,43.298,578,,246,,43.327,626,,,,43.287,44,,,
Pentacosane (n-C25),44.162,8335,,13818,,44.191,590322,,997076,,44.172,48209,,72962,
bis(2-n-Butoxyethyl)phthalate,44.308,144101,,39292,,44.164,9372483,,188013,,44.141,786135,,9798,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.020,176397,,67739,43928,45.170,247,,293,277,45.297,43,,34,32
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.077,178477,,68600,44169,45.170,244,,292,278,45.297,43,,67,34
Dicyclohexyl phthalate,45.145,2028203,,192956,2934,45.170,40657534,,5038513,6787,45.149,4056815,,362870,498
Bis(2-Ethylhexyl)phthalate (DEHP),45.145,2028222,,192953,9216,45.170,40657534,,5038513,365824,45.149,4056815,,362901,31372
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.121,401852,,4569653,,45.174,2298,,5694,,45.243,52,,,
Benz[a]anthracene,45.348,330887,,23885,,45.353,16989,,,,45.351,1529,,80,
Chrysene,45.545,309431,,18940,,45.547,19463,,1378,,45.555,2010,,144,
Dronabinol,45.623,102,,,,45.564,1962,,1780,,45.558,143,,186,
Hexacosane (n-C26),45.850,5707,,23596,,45.764,753157,,1219061,,45.741,58930,,98609,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.806,135628,,102921,67602,45.848,499,,,,45.846,33,,,34
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.433,153192,,66062,42525,45.848,497,,,,45.846,34,,,34
Cannabinol,46.568,2716,,429,,46.574,23932,,3645,,46.564,3263,,219,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.460,131839,,25701,,48.275,2003,,1938,,48.222,159,,181,
Heptacosane (n-C27),47.253,8740,,8348,,47.278,799444,,1270252,,47.259,58765,,100896,
Di-n-octyl phthalate,48.212,1100618,,12759,3185,48.271,164132231,,4183125,1299323,48.218,28889722,,347916,109969
Octacosane (n-C28),48.730,83200,,137780,,48.739,999877,,1658351,,48.720,82763,,127617,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.819,100002,,76324,81104,48.844,681,,,491,48.808,25,,,74
Squalene,49.039,7940556,,1528841,4611316,48.993,737975,,240892,355163,48.977,96624,,27292,51218
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.151,132622,,48365,51952,48.844,662,,,464,48.869,17,,14,
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.764,120173,,57329,59557,49.779,7271,,3343,3763,49.777,55,,31,
Nonacosane (n-C29),50.137,4222,,6639,,50.156,1397107,,2326552,,50.136,92444,,136327,
Benzo(b)fluoranthene,50.388,381050,,33155,,50.410,40857,,3538,,50.387,3024,,84,
Benzo(k)fluoranthenene,50.482,381861,,37869,,50.511,13460,,386,,50.479,849,,38,
Dinonyl phthalate,50.994,1035020,,14078,,51.084,231808721,,260301,,51.011,58106990,,20525,
Benzo(e)pyrene,51.526,418640,,30874,,51.542,24888,,1500,,51.539,1706,,126,
Triacontane (n-C30),51.509,82228,,135444,,51.528,912832,,1488692,,51.506,69464,,119757,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.408,98186,,77124,57404,51.094,4889,,4533,4511,51.017,312,,343,355
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.567,113309,,51001,52579,51.098,4658,,4735,5247,51.014,284,,354,316
Piperine,52.001,1909,,18,,51.782,6813,,,,51.007,6198,,55,
Benzo[a]pyrene,51.780,329346,,32133,,51.786,16136,,1538,,51.807,903,,40,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.950,124162,,56521,42141,51.962,588,,,,51.973,37,,,
Perylene,52.123,375413,,35935,,52.128,5087,,,,52.163,93,,45,
beta-Tocopherol,51.980,523,,6,,53.673,459740,,2277,,53.617,21580,,96,
Hentriacontane (n-C31),52.851,407,,2282,,52.853,870859,,1272954,,52.837,72348,,118783,
Methyl Dipentadecyl amine (?),53.014,142,,23,,53.019,10705,,739,,53.003,684,,19,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.329,118280,,40188,29800,53.341,863,,184,350,53.613,205,,220,195
Dotriacontane (n-C32),54.122,81432,,130941,,54.134,556254,,869538,,54.115,42022,,68992,
Dihexdecyl amine (?),54.309,30,,15,,54.310,1962,,366,,54.467,22,,16,
Vitamin E (or tocopherol isomer),54.258,373,,36,,54.283,128053,,1853,,54.254,10570,,423,
Cholesterol,54.322,20,,,,54.314,281832,,467855,,54.447,5549,,,
Lathosterol,55.163,139,,,,55.192,21174,,18072,,54.495,23139,,13087,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.156,96139,,38450,29959,55.164,33,,,8,55.450,25,,,17
Tritriacontane (n-C33),55.898,580,,,,55.395,399797,,670393,,55.376,31831,,49886,
Methyl dihexdecyl amine (?),55.708,31,,3,,55.547,24037,,5995,,55.542,1585,,417,
"Cholesta-3,5-dien-7-one",55.712,22,,,,55.652,64726,,34190,,55.643,6290,,1878,
"Indeno(1,2,3-cd)pyrene",56.206,439634,,83528,,56.225,22708,,5836,,56.216,1244,,42,
Cholest-4-en-3-one,56.742,2630,,1144,,56.293,8100,,8399,,56.179,301,,853,
Tetratriacontane (n-C34),56.755,74751,,111241,,56.774,315828,,503293,,56.752,23755,,37485,
beta-Sitosterol,56.952,31,,17,,56.971,150234,,205202,,57.206,1535,,3103,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,62228,,60090,28957,56.961,756,,786,459,56.962,8,,40,
Diheptadecyl amine (?),56.949,709,,20,,56.937,6310,,766,,56.918,113,,6,
"Benzo[g,h,i]perylene",57.294,384582,,57069,,57.310,20011,,3154,,57.348,1014,,90,
Pentatriacontane (n-C35),58.223,488,,,,58.387,225859,,353452,,58.351,18457,,23399,
Methyl diheptadecyl amine (?),58.568,3117,,172,,58.584,292117,,14790,,58.558,18282,,1526,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.890,44133,,40056,17157,60.200,161,,,,59.947,23,,,
Hexatriacontane (n-C36),60.290,64522,,99686,,60.309,183785,,292907,,60.290,12445,,27121,
Dioctadecyl amine (?),60.598,25,,,,60.543,15755,,886,,60.490,505,,24,
Methyl dioctadecyl amine (?),62.822,2190,,87,,62.850,1026301,,33446,,62.808,52516,,1602,
Acenaphthene-D10,24.869,336134,,435073,,24.881,1609443,,2096706,,24.875,100341,,134797,
Phenanthrene-D10,32.220,623281,,67539,,32.218,3164906,,384352,,32.226,193600,,25729,
Benz(a)anthracene-D12,45.233,691324,,166665,,45.245,3515140,,852253,,45.233,231294,,56114,
Perylene-D12,52.007,386629,,91378,,52.023,1668981,,385182,,52.017,108043,,28029,
